CustomerID,LookalikeID,SimilarityScore
C0001,C0137,0.999976094291936
C0001,C0152,0.9999512985793658
C0001,C0107,0.9964013500089174
C0002,C0142,0.9927101242717188
C0002,C0177,0.9760382174915155
C0002,C0027,0.971386066932583
C0003,C0133,0.9989719675770888
C0003,C0192,0.9846440398381042
C0003,C0031,0.9815487963614885
C0004,C0113,0.9851642664801187
C0004,C0108,0.9820488565329637
C0004,C0155,0.9809803343178441
C0005,C0159,0.999946124473246
C0005,C0186,0.9974697804614083
C0005,C0007,0.9876253815474271
C0006,C0158,0.9890862085771983
C0006,C0168,0.9763568370014672
C0006,C0187,0.9319755623651419
C0007,C0159,0.989200111563617
C0007,C0005,0.9876253815474271
C0007,C0115,0.9843267071121881
C0008,C0109,0.9855077445987682
C0008,C0139,0.9685627043398982
C0008,C0098,0.9560663588069069
C0009,C0198,0.9816861859950066
C0009,C0197,0.9806305873220128
C0009,C0073,0.9748092064333393
C0010,C0199,0.9982396365928183
C0010,C0121,0.9886066176809198
C0010,C0166,0.9868780187065791
C0011,C0107,0.9994459730348367
C0011,C0048,0.9992884742232376
C0011,C0152,0.9941432282373532
C0012,C0155,0.9820545436158016
C0012,C0013,0.9762128175366658
C0012,C0153,0.975758996663039
C0013,C0087,0.9949648629846309
C0013,C0155,0.992955309476578
C0013,C0102,0.988996919048316
C0014,C0060,0.9995318160411911
C0014,C0198,0.9917209220528568
C0014,C0063,0.9872866181591569
C0015,C0144,0.9997092178524963
C0015,C0020,0.9909923285453762
C0015,C0058,0.9903954007339714
C0016,C0183,0.9999790360318642
C0016,C0018,0.9731954035942174
C0016,C0072,0.9723647303671177
C0017,C0075,0.9828855279612261
C0017,C0124,0.9797637671038262
C0017,C0051,0.9569491752839572
C0018,C0016,0.9731954035942174
C0018,C0183,0.971685849138988
C0018,C0079,0.9442377060228634
C0019,C0172,0.999992746675957
C0019,C0127,0.9643479269805527
C0019,C0111,0.9511102533596697
C0020,C0058,0.9974291919180103
C0020,C0033,0.9944038242235661
C0020,C0144,0.9911768605320931
